X,Y,INTERSECTIONID,ROUTEID,MEASURE,INTERSECTIONNAME,GRADE,INTERSECTIONKEY,ACISA,SE_ANNO_CAD_DATA,OBJECTID
-8574801.88328353,4708950.08991818,11072862_11089442,11089442,980.41699219,VERMONT AVE NW & Q ST NW,13,3a9834f3b38911343dafd15d6394d905,2155,,4373261
-8567492.1830717,4703125.44643222,13003102_13069812,13069812,3998.46801758,PENNSYLVANIA AVE SE & 31ST ST SE,13,eb0d7224dc7b9d373542d65da5ba20eb,4143,,4373292
-8574271.50015739,4707657.44003763,11000902_11050892_11064672,11050892,1294.84399414,K ST NW & 9TH ST NW & NEW YORK AVE NW,13,a50908df57f90d69ded9626315c7e4dd,2074,,4373298
-8574940.17994027,4708669.81021264,11056552_11089442*1,11089442,860.15600586,VERMONT AVE NW & LOGAN CIR NW,14,68c0bbf0f20a047412af1125bd9c8e09,2157h,,4373302
-8579154.30504515,4713207.22347593,11075272_11086122,11086122,1526.83703613,TILDEN ST NW & RENO RD NW,14,a18ee52add8be21d5727015657d52e77,6124,,4373306
-8578713.15431185,4716090.09957893,11003202_11060642,11060642,2933.95092773,MILITARY RD NW & 32ND ST NW,13,7713f5e90d33faf75ae2f43b75c3413e,6019,,4373334
-8572455.40543284,4697035.6810993,13027232_14027232_15081252,14027232,0,DANBURY ST SW & DANBURY ST SE & SOUTH CAPITOL ST BN,13,83245e27fa7e0094f961ac9cf1e68e0f,4290,,4373335
-8571665.30131876,4705423.64779143,13000402_13069812_13079172,13069812,285.45498657,PENNSYLVANIA AVE SE & 4TH ST SE & SEWARD SQ SE,13,ff47a57adf315f9090795217301e0f8c,4013,,4373357
-8580327.90805025,4714042.0172741,11037052_11063762*1,11063762,2250.81396484,NEBRASKA AVE NW & FORT DR NW,13,ed57f783445b627bd34872c76bb9295e,6156c,,4373361
-8579691.3372511,4709160.21454574,11003702_11075332_11094002,11075332,733.19396973,RESERVOIR RD NW & 37TH ST NW & WINFIELD LN NW,13,eabfcf1d9f4e2697949fa68fc1186255,6241,,4373363
-8580275.96472486,4713766.46514753,11091192_11094052,11091192,700.45599365,WARREN ST NW & WISCONSIN AVE NW,13,3ae0083a4b7e46dcfb0fe597ee733091,6015,,4373382
-8575670.23820291,4707387.41532839,11001602_11042442,11001602,56.9620018,16TH ST NW & H ST NW,13,2c3f3fab58a593ee1aeb40f7be957c8b,1050,,4373414
-8570037.46945185,4704570.3865291,13069812_13071892A,13069812,1716.87902832,PENNSYLVANIA AVE SE & POTOMAC AVE SE,13,88a374681776e722a920815a2012d0c3,4049,,4373431
-8573817.12011574,4705580.40108669,14000602_14047972,14047972,940.80700684,INDEPENDENCE AVE SW & 6TH ST SW,13,b9a0b55e01d123d61e8d7b4f21589341,1201,,4373438
-8570514.7536358,4704819.96129988,13001202_13069812,13069812,1297.38500977,PENNSYLVANIA AVE SE & 12TH ST SE,13,98f2617b554f16c8861ec38cc71f5612,4042,,4373453
-8574655.8904561,4715404.49574401,11047902_11052062,11047902,1923.99804688,ILLINOIS AVE NW & KENNEDY ST NW,13,ec9403ad454e19f0e4ed8d79814d1b2b,5149,,4373462
-8574611.06083859,4708867.5282931,11001102_11075462,11001102,1755.22705078,11TH ST NW & RHODE ISLAND AVE NW,13,451a412547dd648e33aae969c4b3fcfa,2113,,4373520
-8579617.63373437,4711297.09460561,11003632_11039522,11003632,433.4039917,36TH PL NW & GARFIELD ST NW,13,6967cd914095d87ac40c0a5ca7f5f405,6107,,4373536
-8578464.32919605,4713220.90043967,11025152_11086122,11086122,976.52697754,TILDEN ST NW & CONNECTICUT AVE NW,13,9ffd6c77bfa52280d8e16dd8a43126f4,6081,,4373552
-8574908.11022634,4711455.39568496,11001302_11048752,11048752,2055.70703125,IRVING ST NW & 13TH ST NW,13,2a3214d568a2f089ae333cea9102cd54,5041,,4373559
-8573816.50984354,4708738.05992458,11000602_11068382,11000602,1950.27001953,6TH ST NW & P ST NW,13,bc209e47943766d9691c3cbe9456aee7,3017,,4373613
-8577324.40685824,4707893.63263496,11002402_11053492,11002402,651.10797119,24TH ST NW & L ST NW,13,37d75a5c902ca0eb98ee2e87a4fda211,1167,,4373617
-8577847.4935606,4707457.74338269,11002702_11047772,11002702,33.94800186,27TH ST NW & I ST NW,14,ed2d1325ea4ba55361e53ef8c3fd84e4,1174a,,4373626
-8574492.45506775,4705191.45650419,14001002_14026912_14054972,14054972,301.82598877,L'ENFANT PROMENADE SW & 10TH ST SW & D ST SW,13,0c81277236ccd57f8cd274e0220f4719,1214,,4373627
-8580988.40473825,4715662.19346015,11048362_11094052,11048362,1088.88793945,INGOMAR ST NW & WISCONSIN AVE NW,13,7f6a2815d0c65500d35d83be4594c880,6267,,4373637
-8571828.51435621,4706292.65809511,12000302_12059472,12059472,334.37200928,MARYLAND AVE NE & 3RD ST NE,13,001f7ead08855538c285d377b1317f1d,3054a,,4373638
-8574441.28556004,4713349.85043911,11040042_11088012,11088012,1060.3380127,UPSHUR ST NW & GEORGIA AVE NW,13,0a87a6089c9dd10746382b0be0a2f186,5258,,4373652
-8574944.02805703,4708071.297873,11059602_21059601_21059603*1,11059602,1796.63098145,MASSACHUSETTS AVE NW & MASSACHUSETTS AVE NW Service Rd & MASSACHUSETTS AVE NW Service Rd,13,37f201204daccefe6f56ec3e4353cfa2,2140,,4373656
